show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,imdb_rating
81035841,Movie,Flimflam,Khaled Marei,"Ahmed Helmy, Donia Samir Ghanim, Sabrine, Bayyumi Fuad, Jamila Adel Awad, Bea, Yasser El Tobgy, Enaam Salousa",Egypt,2016,TV-14,102 min,"Comedies, International Movies",5.5
81147766,Movie,Oprah Presents When They See Us Now,Mark Ritchie,"Oprah Winfrey, Ava DuVernay",United States,2019,TV-14,61 min,Documentaries,7.7
81035889,Movie,Savage Raghda,Mahmoud Karim,"Ramez Galal, Riham Hagag, Bayyumi Fuad, Entessar, Ahmed Fathy, Mohammed Tharwat",Egypt,2018,TV-MA,93 min,"Comedies, International Movies, Romantic Movies",5.3
81088277,Movie,The 3rd Eye 2,Rocky Soraya,"Jessica Mila, Bianca Hello, Nabilah Ayu, Sophia Latjuba, Jeremy Thomas",Indonesia,2019,TV-MA,117 min,"Horror Movies, International Movies",5.5
81035874,Movie,The Ant's Scream,Sameh Abdulaziz,"Amr Abdel-Geleel, Rania Yousef, Salloum Haddad, Hesham Al-Meligy, Farida Al-Gready, Ahmad Wafiq, Mohamed Abo El Hassan, Amr Sakr, Ahmed Gamal Saeed, Riham Ayman",Egypt,2010,TV-14,108 min,"Comedies, Dramas, International Movies",6.2
81035883,Movie,The Cell,Tarek Al Eryan,"Ahmed Ezz, Mohamed Mamdouh, Samer al Masri, Amina Khalil, Ahmed Safwat, Ahmed Salah Hosny, Aïcha Ben Ahmed, Rania Elkhatib, Riham Abdel Ghafour",Egypt,2017,TV-MA,126 min,"Action & Adventure, Dramas, International Movies",6.3
81035848,Movie,The Right One,Hadi El Bagoury,"Hani Salama, Basma Ahmad, Rania Yousef, Kinda Allouch, Yasmin Raeis, Amr Youssef, Zizi El-Badrawy",Egypt,2011,TV-14,93 min,"Dramas, International Movies, Romantic Movies",6.3
80176756,Movie,Dragonheart: Battle for the Heartfire,Patrik Syversen,"Tom Rhys Harries, Jessamine-Bliss Bell, Patrick Stewart, André Eriksen, Richard Cordery, Martin Hutson, Turlough Convery, Delroy Brown, Tamzin Merchant",United States,2017,PG-13,98 min,"Action & Adventure, Sci-Fi & Fantasy",5.3
80168221,Movie,"Oh, Hello On Broadway",Michael John Warren,"Nick Kroll, John Mulaney",United States,2017,TV-MA,102 min,Stand-Up Comedy,7.8
70261178,Movie,Reincarnated,Andy Capper,"Snoop Dogg, Dr. Dre, Bunny Wailer",United States,2012,R,96 min,"Documentaries, Music & Musicals",6.2
81002929,Movie,Jo Koy: Comin' In Hot,Shannon Hartman,Jo Koy,United States,2019,TV-MA,60 min,Stand-Up Comedy,7.3
80221016,Movie,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Martin Scorsese,"Bob Dylan, Allen Ginsberg, Joan Baez, Patti Smith, Roger McGuinn, Sam Shepard, Sharon Stone, Joni Mitchell, Scarlet Rivera, Ramblin' Jack Elliott, Ronnie Hawkins, Anne Waldman, Ronee Blakley",United States,2019,TV-MA,142 min,"Documentaries, Music & Musicals",7.7
80222188,Movie,My Daddy is in Heaven,Waymon Boone,"Jenn Gotzon Chandler, Corbin Bernsen, Lorenzo Lamas, T.C. Stallings, Jill Morrison, Lane Garrison, Jake Jacobson, Lee Benton, Riley St. John, Cricket St. John",United States,2017,TV-14,95 min,"Dramas, Faith & Spirituality",4.6
